Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,43.369999,43.830002,43.160000,43.660000,43.660000,907000
2022-08-16,43.700001,43.889999,43.580002,43.709999,43.709999,656000
2022-08-17,43.779999,43.880001,43.529999,43.779999,43.779999,462200
2022-08-18,43.220001,43.500000,42.990002,43.430000,43.430000,600000
2022-08-19,43.400002,43.950001,43.259998,43.680000,43.680000,359000
2022-08-22,42.630001,43.049999,42.599998,42.910000,42.910000,511000
2022-08-23,42.099998,42.299999,41.869999,41.900002,41.900002,1133025
2022-08-24,42.279999,42.330002,41.650002,41.790001,41.790001,621028
2022-08-25,42.380001,42.900002,42.340000,42.660000,42.660000,672000
2022-08-26,43.290001,43.419998,43.000000,43.070000,43.070000,682000
2022-08-29,40.700001,41.099998,40.389999,40.849998,40.849998,1523000
2022-08-30,40.900002,41.590000,40.820000,41.349998,41.349998,576000
2022-08-31,40.790001,41.990002,40.730000,41.939999,41.939999,767000
2022-09-01,40.360001,40.549999,39.900002,40.189999,40.189999,1545000
2022-09-02,40.189999,40.290001,39.529999,39.529999,39.529999,952000
2022-09-05,39.770000,40.070000,39.299999,39.529999,39.529999,643000
2022-09-06,40.169998,40.299999,39.279999,39.630001,39.630001,624249
2022-09-07,38.580002,38.650002,38.049999,38.049999,38.049999,1391000
2022-09-08,38.599998,39.020000,38.340000,38.980000,38.980000,891000
2022-09-12,40.430000,40.580002,40.139999,40.439999,40.439999,1261000
2022-09-13,41.060001,41.160000,40.650002,40.860001,40.860001,824000
2022-09-14,38.810001,39.599998,38.799999,39.369999,39.369999,1009000
2022-09-15,39.340000,39.980000,39.240002,39.650002,39.650002,420000
2022-09-16,38.820000,39.020000,38.720001,38.869999,38.869999,639000
2022-09-19,39.080002,39.119999,38.410000,38.509998,38.509998,548000
2022-09-20,38.910000,39.200001,38.709999,39.139999,39.139999,511000
2022-09-21,38.730000,38.919998,38.410000,38.599998,38.599998,525000
2022-09-22,37.389999,37.660000,36.869999,37.580002,37.580002,1473000
2022-09-23,37.380001,37.599998,36.709999,36.980000,36.980000,932007
2022-09-26,35.990002,36.000000,35.060001,35.099998,35.099998,2287385
2022-09-27,35.599998,35.650002,35.049999,35.410000,35.410000,986000
2022-09-28,35.459999,35.590000,33.750000,33.759998,33.759998,2029000
2022-09-29,34.520000,34.599998,33.700001,33.990002,33.990002,1530000
2022-09-30,33.009998,33.549999,32.810001,33.290001,33.290001,1688000
2022-10-03,32.570000,33.480000,32.520000,32.689999,32.689999,1272000
2022-10-04,34.099998,34.330002,33.750000,34.230000,34.230000,1578000
2022-10-05,34.980000,35.630001,34.900002,35.209999,35.209999,2302001
2022-10-06,35.680000,35.709999,35.320000,35.580002,35.580002,1168000
2022-10-07,35.130001,35.290001,34.660000,34.730000,34.730000,1134020
2022-10-11,32.520000,32.680000,31.660000,31.709999,31.709999,3023000
2022-10-12,31.690001,31.889999,31.129999,31.600000,31.600000,1786000
2022-10-13,31.590000,31.600000,30.290001,30.299999,30.299999,2093000
2022-10-14,31.850000,32.349998,31.520000,31.930000,31.930000,2187000
2022-10-17,30.980000,31.139999,30.299999,31.059999,31.059999,2221000
2022-10-18,31.990000,32.020000,31.150000,31.750000,31.750000,2161000
2022-10-19,31.620001,32.049999,31.200001,31.250000,31.250000,1467000
2022-10-20,30.170000,30.809999,29.709999,30.799999,30.799999,3769050
2022-10-21,30.840000,31.000000,30.320000,30.400000,30.400000,1393000
2022-10-24,31.440001,31.500000,30.690001,30.690001,30.690001,2016000
2022-10-25,30.690001,30.690001,29.650000,29.870001,29.870001,2478174
2022-10-26,29.920000,30.450001,29.700001,30.090000,30.090000,1568000
2022-10-27,30.750000,31.139999,30.730000,30.940001,30.940001,1734000
2022-10-28,30.670000,30.850000,30.040001,30.139999,30.139999,1309000
2022-10-31,30.790001,31.180000,30.500000,30.930000,30.930000,1529000
2022-11-01,30.940001,31.700001,30.910000,31.400000,31.400000,1391000
2022-11-02,31.379999,31.709999,31.330000,31.700001,31.700001,1117000
2022-11-03,30.719999,31.150000,30.719999,31.139999,31.139999,1230000
2022-11-04,30.719999,31.440001,30.549999,31.420000,31.420000,1596000
2022-11-07,31.930000,32.480000,31.719999,32.349998,32.349998,1909120
2022-11-08,32.750000,33.090000,32.750000,32.820000,32.820000,1998000
2022-11-09,33.400002,34.189999,33.369999,34.119999,34.119999,2285129
2022-11-10,33.799999,33.919998,33.490002,33.730000,33.730000,5389000
2022-11-11,36.160000,36.360001,35.639999,36.299999,36.299999,6067040
2022-11-14,36.740002,37.119999,36.549999,36.910000,36.910000,1650100
2022-11-15,37.520000,39.099998,37.369999,39.009998,39.009998,3029193
2022-11-16,39.209999,39.389999,38.500000,39.110001,39.110001,4333087
2022-11-17,38.830002,39.320000,38.389999,39.259998,39.259998,3823000
2022-11-18,39.310001,40.060001,38.790001,38.950001,38.950001,1668000
2022-11-21,38.959999,39.180000,38.650002,38.709999,38.709999,548000
2022-11-22,38.599998,39.250000,38.410000,39.080002,39.080002,722000
2022-11-23,39.779999,39.849998,39.389999,39.680000,39.680000,628000
2022-11-24,40.180000,40.680000,39.990002,40.599998,40.599998,5537000
2022-11-25,40.509998,40.709999,40.270000,40.270000,40.270000,876000
2022-11-28,39.029999,39.549999,38.799999,39.189999,39.189999,2478270
2022-11-29,39.029999,40.060001,38.750000,39.970001,39.970001,791100
2022-11-30,39.799999,40.820000,39.770000,40.820000,40.820000,1666070
